PLU_ID,Park,Class,Subtype,PLU Display Name,Units,Revenue,P/C,2024 Product
154185,SWF,SDT,Consumer Direct,SWF Any Day 2017 Blue Friday BOGO Full Paid Ages3+,-5,-499.95,99.99,BOGO
158470,SWF,SDT,Consumer Direct,SWF SDT 1 Day Advance Purchase Ages 3+,419,32955.88,78.65365155131266,Intended Day SDT
-1,SWF,MDT/MPT,Consumer Direct,Unknown,348,11308.26,32.495,Not Sure
131744,SWF,Pass,Silver,AIT/BGT/SWF 15 Month Pass Voucher Adult,8,2016.0,252.0,4-Park Silver Pass
142652,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Senior,4,752.0,188.0,2-Park Silver Pass
154881,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF LOS U14 wParking AdvPurch Online,7,1189.93,169.99,LOS
106578,SWF,SDT,Consumer Direct,SWF Inet Adv Single Day Ticket Guest,76,7135.39,93.8867105263158,Intended Day SDT
142648,SWF,Pass,Silver,BGT/SWF 15 Month Pass Renewal Voucher Adult,8,1568.0,196.0,2-Park Silver Pass
154876,SWF,MDT/MPT,Consumer Direct,AIT/APO/BGT/SWF 2 visit CYA AdvPurchase Online,145,17398.55,119.99,2-Park 2-Day Ticket
142620,SWF,Pass,Silver,SWF 15 Month Pass Renewal Voucher Senior,1,120.0,120.0,1-Park Silver Pass
160634,SWF,Fun Card,Consumer Direct,SWF 2018 Fun Card Pass Voucher,76,7599.24,99.99,1-Park Fun Card
160953,SWF,Fun Card,Consumer Direct,BGT/SWF 2018 Fun Card Voucher,12,2123.88,176.99,2-Park Fun Card
142671,SWF,Pass,Silver,AIT/BGT/SWF 15 Month Pass Renewal Voucher Adult,2,464.0,232.0,4-Park Silver Pass
142684,SWF,Pass,Silver,APO/BGT/SWF 15 Month Pass Renewal Voucher Senior,2,448.0,224.0,4-Park Silver Pass
153825,SWF,SDT,Consumer Direct,SWF INT Flex Day Ticket + ADDD Ages 3+,60,6599.4,109.99,Intended Day SDT + ADD
131692,SWF,Pass,Silver,BGT/SWF 15 Month Pass Voucher Adult,86,18576.0,216.0,2-Park Silver Pass
